word,meaning
@b0rt!0n,abortion
auti$m,autism
blink in lio,link in bio
blk,Black
bl00d,blood
b00bs,breasts
clock app,TikTok
corn,porn
cue anon,QAnon
depressi0n,depression
grape,rape
h0rny,horny
kermit sewer slide,commit suicide
k1ll,kill
le dollar bean,lesbian
leg booty community,LGBT community
le$bean,lesbian
le$bian,lesbian
nip nops,nipples
not see,Nazi
opposite of love,hate
Ouid,weed
pdf file,pedophile
seggs,sex
sewer slide,suicide
sh!t,shit
shmex,sex
skripper,stripper
str8,straight
$tripper,stripper
the vid,COVID-19
tism,autism
unalive,"dead, kill, suicide"
yt,White